history1,history2,question,rewrite,model_output,accuracy,semantic_related
章鱼 是色盲,章鱼的血是什么颜色,蓝色我要满意,章鱼的血是蓝色的我要满意,章鱼的血是蓝色的吗,,0
济南下雨了,比冷的城市么,是我在的城市,济南是我在的城市,济南下雨了是我在的城市,,0
我不喜欢全职高手,很有意思的小说啊如果错过还蛮可惜的,小说很有意思不代表我就要喜欢吧,全职高手很有意思不代表我就要喜欢吧,小说很有意思不代表我就要喜欢全职高手,,0
跟我男朋友闹别扭了,咋了这脾气也太火暴了,因为今天吃完饭他就要回宿舍,因为今天吃完饭我男朋友就要回宿舍,因为今天吃完饭他就要回宿舍，所以跟我男朋友闹别扭了,,0
初音未来的有好多人听呢,就是那个岛国妹纸吗,是的她还可以唱中文,是的初音未来还可以唱中文,初音未来的中文歌曲有哪些,,0
眼里有银河,银河是什么样子,繁星满天,银河里繁星满天,繁星满天是什么样子,,0
这么便宜 再看看CA4592下周六从上海到成都公务舱多少钱,公务舱1280元,好的 CA4592下周六从上海到成都具体起飞和到达时间是几点 我朋友要去接我 我提前告诉他一下,好的 CA4592下周六从上海到成都具体起飞和到达时间是几点 我朋友要去接我 我提前告诉他一下,CA4592下周六从上海到成都公务舱的具体起飞和到达时间是几点,,0
你看过知否吗,是电影吗,赵丽颖的新剧,知否是赵丽颖的新剧,赵丽颖的新剧是什么,,0
你有偶像吗,那可太多了哦,是谁,你偶像是谁,你有偶像吗是谁,,0
六安去哪玩,去大梅沙,在哪,大梅沙在哪,六安去大梅沙玩在哪,,0
你好 我下周一下午要从上海到北京去 您能给推荐一个高铁吗,给您推荐这个G14 上海虹桥 北京南,G14什么时候到达北京呢,G14什么时候到达北京呢,G14什么时候到达北京南,,0
最近什么动漫火,看过灌篮高手吗,太老了,灌篮高手太老了,最近什么动漫火 太老了,,0
看知否知否应是绿肥红瘦,谁演的,赵丽颖的新作,知否知否应是绿肥红瘦是赵丽颖的新作,赵丽颖的新作是什么,,0
火腿肠配上方便面晚上肚子饿的时候必备,吃泡面会死人吗,第一次吃这个,第一次吃泡面,第一次吃火腿肠配上方便面会死人吗,,0
我要kiss,Kiss是什么,亲吻,Kiss是亲吻,亲吻是什么,,0
吴丞熙我喜欢你,我也是亲亲,你不能和我抢他,你不能和我抢吴丞熙,吴丞熙你不能和我抢他,,0
话说你喜欢吃火锅么,说了你就请我吃吗,嗯请你吃,嗯请你吃火锅,嗯请我吃火锅,,0
棒棒糖啊,我要吃巧克力,看起来好好吃的样子,巧克力看起来好好吃的样子,看起来棒棒糖好好吃的样子,,0
作为心理罪的原著粉尚可接受反正比他来了请闭嘴改的好,他来了请闭眼,原著的故事掩盖了电视剧数不清的bug和演员浮夸的演技,原著的他来了请闭眼故事掩盖了电视剧数不清的bug和演员浮夸的演技,原著心理罪的故事掩盖了电视剧数不清的bug和演员浮夸的演技,,0
你好 我想买一辆主要用途是越野的两厢车 一般是3个人坐 你能推荐我一款吗,您对价格区间有什么要求吗,我想买一辆两厢车 预算空间在小于15万吧,我想买一辆两厢车 预算空间在小于15万吧,我想买一辆主要用于越野的两厢车，一般3人乘坐，预算在15万以内,,0
我是白敬亭的太太,我爱白敬亭,他是我老公,白敬亭是我老公,白敬亭是老婆老公,,0
