history1,history2,question,rewrite,model_output,accuracy,semantic_related
ins是什么意思,一个国外用的类似微博的软件,怎么下载,怎么下载ins,ins怎么下载,,0
能帮我查查下周五南京的天气情况么,下周五南京是多云,下周五南京温度是多少度啊 下周五南京风力风向大么 我好提前带好衣服,下周五南京温度是多少度啊 下周五南京风力风向大么 我好提前带好衣服,下周五南京温度是多少度，风力风向如何，以便提前准备衣物,,0
我想下周一下午从杭州到厦门见朋友 我想坐当天的二等座动车 请问有哪个车到呀,您可以乘坐当天的D3141 杭州东 厦门北,哦 D3141什么时间从杭州发车呢,哦 D3141什么时间从杭州发车呢,D3141动车从杭州东发车的时间是什么时候,,0
肠胃炎肚子痛,我正在医院输液不用太难过,你怎么了,你怎么肠胃炎了,你怎么了,,0
你好 我来苏州出差 想去苏州大学逛一逛 有没有地铁直达那里呢,有地铁直达的,苏州大学的具体地址在哪里呢,苏州大学的具体地址在哪里呢,苏州大学的具体地址在哪里呢,,1
那好呀 如果狸家手工酸奶酪的菜好吃 我回来再打包点 它的评分怎么样,评分是4 5分 已经不错了,狸家手工酸奶酪有啥推荐菜吗 要是吃好了 我推荐给我朋友,狸家手工酸奶酪有啥推荐菜吗 要是吃好了 我推荐给我朋友,狸家手工酸奶酪有什么推荐菜吗，要是吃好了我推荐给我朋友,,0
好 再帮我找一家价格偏贵的商务出行酒店吧,给您推荐苏州黎里水岸寒舍精品酒店,苏州黎里水岸寒舍精品酒店的大床房是多少钱呀,苏州黎里水岸寒舍精品酒店的大床房是多少钱呀,苏州黎里水岸寒舍精品酒店大床房的价格是多少,,0
你好 我下周日想去苏州旅游 问一下下周日苏州的天气怎样,多云 对于旅游来说这样的天气还是比较适宜的,下周日苏州的温度是多少,下周日苏州的温度是多少,下周日苏州的温度是多少,,1
那江边城外烤全鱼可以坐地铁直接到吗 江边城外烤全鱼的特色菜是什么呀,这个餐馆也是可以地铁直达的 那里的推荐菜是怪味烤鱼,好的 好的 顺便问下江边城外烤全鱼附近有没有2星级的酒店呀 我想在那边订个大床房 如果有 请帮我推荐一家,好的 好的 顺便问下江边城外烤全鱼附近有没有2星级的酒店呀 我想在那边订个大床房 如果有 请帮我推荐一家,江边城外烤全鱼附近有2星级的酒店吗，我想在那边订个大床房，请帮我推荐一家,,0
有地铁直达太好了 观前街的评分怎么样呢 高不高啊,比较高 评分是4 3分,行 观前街的评分不低了 我怕评分低再让朋友笑话了 你方便把景点的地址发过来吗,行 观前街的评分不低了 我怕评分低再让朋友笑话了 你方便把景点的地址发过来吗,行 观前街的评分不低了 我怕评分低再让朋友笑话了 你方便把观前街景点的地址发过来吗,,0
梦到女朋友,好哒当时具体发生了什么,她打我,梦到女朋友打我,梦到女朋友时她打我,,0
你给我讲讲股市吧,给我们讲讲吧,可以就讲这个,可以就讲股市,可以就讲这个股市,,0
你好 我毕业第一站是苏州 想先问一下苏州吴中区有没有价格便宜的酒店推荐一下,布丁酒店就可以,布丁酒店的地址在哪,布丁酒店的地址在哪,布丁酒店的地址在哪,,1
顾亚丽你认识吗,顾你看看,看照片吗,看顾亚丽照片吗,顾亚丽的照片吗,,0
看了狼王梦,怎么啦要我给你找狼王梦吗,找找看吧,狼王梦找找看吧,找找看狼王梦,,0
来句英语绕口令,手语你懂么,你懂吗,你懂手语吗,手语你懂吗,,0
别人在我面前炫耀怎么办,炫耀哪方面,有钱,别人在我面前炫耀有钱怎么办,有钱的炫耀怎么办,,0
你看过微微一笑很倾城吗,讲的啥啊跟我说说,讲的是贝微微和肖奈之间的爱情故事,微微一笑很倾城讲的是贝微微和肖奈之间的爱情故事,讲的是贝微微和肖奈之间的爱情故事,,0
那这部李准基主演的主演呢 除了李准基都有谁,主演除了李准基 还有韩孝周 李英雅 朴施厚 演技都挺好的,这部李准基主演的剧在豆瓣上的评分如何呢,这部李准基主演的剧在豆瓣上的评分如何呢,这部李准基主演的剧在豆瓣上的评分如何呢,,1
我最讨厌飞机晚点了 南方航空CZ3171的准点率是多少呢,准点率是89 44,南方航空CZ3171的经济舱票价是多少钱啊,南方航空CZ3171的经济舱票价是多少钱啊,南方航空CZ3171的经济舱票价是多少钱,,0
你好 我下周要去深圳 想提前了解一下天气情况 麻烦请帮我查询一下下周六的温度如何,好的 帮您查询到深圳下周六最高温度23摄氏度 最低温度16摄氏度,深圳下周六天气如何 我用不用戴遮阳帽,深圳下周六天气如何 我用不用戴遮阳帽,深圳下周六天气如何 需不需要戴遮阳帽,,0
噢 接下来你再查一下中国大陆的好看的科幻片电影是哪部 好吗,长江七号 就很不错的,能再告诉我一下长江七号的主演都是谁吗,能再告诉我一下长江七号的主演都是谁吗,长江七号的主演都是谁,,0
扁桃体发炎怎么办,怎么回事病的严重吗,问你怎么办,问你扁桃体发炎怎么办,扁桃体发炎怎么办,,0
你好 我打算下周三上午从厦门到南京玩几天 想坐高铁去 当天有哪个车呢,当天有G1676 厦门 南京南,G1676一等座多少钱,G1676一等座多少钱,G1676一等座从厦门到南京南多少钱,,0
太好了 这下能省个门票钱 哈哈 我听说蟹王酒楼这家餐厅挺好的 能帮我查查这家餐厅的评分情况吗,评分高着呢 4 8分,太好了 哈哈 我现在就想去吃了 我还得问问蟹王酒楼大概的人均消费是多少呢,太好了 哈哈 我现在就想去吃了 我还得问问蟹王酒楼大概的人均消费是多少呢,蟹王酒楼的人均消费是多少,,0
你好 我最近想出去旅行 但还没决定去哪 想根据机票价格做参考 能帮我看看下周一从上海到广州的带经济舱的航班么,你好 为您推荐上海航空FM9309 虹桥国际机场T2 白云国际机场T1,好的 那上海航空FM9309经济舱的票价是多少,好的 那上海航空FM9309经济舱的票价是多少,上海航空FM9309经济舱的票价是多少,,0
我喜欢李汶翰,李汶翰是我偶像,是我的,李汶翰是我的,李汶翰是我的,,1
呵呵 我正打车往山崎面包去呢 应该到什么位置下车呢,地址是长江路211号泉屋百货负一层 你打到这附近就行,好的 山崎面包原来是在商场里呀 正好吃完面包还可以逛商场 哈哈,好的 山崎面包原来是在商场里呀 正好吃完面包还可以逛商场 哈哈,山崎面包位于商场内，正好吃完面包还可以逛商场 哈哈,,0
我家是杭州的 能帮我查查下周杭州到南京的动车么 我要出去旅游,您预计什么时候出发呢 我好帮您查询呢,我计划是下周一动车上午杭州出发到南京,我计划是下周一动车上午杭州出发到南京,下周一上午杭州出发到南京的动车查询,,0
你好 我来苏州旅游 在吴江找个适合朋友出游的景点吧,你好 同里古镇是个不错的选择,同里古镇的门票多少钱啊,同里古镇的门票多少钱啊,同里古镇的门票多少钱啊,,1
你知道泊头吗,不知道,这是个地方,泊头是个地方,泊头这是个地方,,0
联想小新潮7000有什么特性呢,PCIE高速固态硬盘 双硬盘位 快充 Type c接口,联想小新潮7000价格怎么样,联想小新潮7000价格怎么样,联想小新潮7000价格怎么样,,1
你能帮我推荐一部中国香港的喜剧片吗,那你可以看看天地争霸美猴王,好嘞 请问一下 天地争霸美猴王的主演名单中都有谁啊,好嘞 请问一下 天地争霸美猴王的主演名单中都有谁啊,天地争霸美猴王的主演名单中都有谁,,0
你发的都是什么妖魔鬼怪,是华盛顿,根本不是好吗,你发的根本不是华盛顿好吗,根本不是华盛顿好吗,,0
那下周六北京温度怎么样呢 会热么,最高温度9摄氏度 最低温度 3摄氏度 温度较低 注意保暖呀,下周六北京风力风向怎么样呢 我看有点冷啊 会刮风么,下周六北京风力风向怎么样呢 我看有点冷啊 会刮风么,下周六北京风力风向怎么样呢 会刮风么,,0
你好 我想在常熟这边找个消费水平偏贵的景点,推荐您到沙家浜风景区,沙家浜风景区的地址在什么地方,沙家浜风景区的地址在什么地方,沙家浜风景区的地址在什么地方,,1
现在有什么好看的老电影,安利下虎胆追凶枪战场面音效更佳真实感更强了,老电影大哥,虎胆追凶是老电影大哥,老电影大哥,,0
今晚一起出去吃饭吧,好吃完去唱歌,ktv吗,去ktv唱歌吗,今晚一起出去吃饭然后去KTV吗,,0
东方航空MU2831几点到北京呢 我朋友要去接我,当天16 50到达北京,东方航空MU2831会不会晚点呢,东方航空MU2831会不会晚点呢,东方航空MU2831会不会晚点呢,,1
四川航空3U8548准点吗,98 32  您请放心,四川航空3U8548公务舱的票价是多少,四川航空3U8548公务舱的票价是多少,四川航空3U8548公务舱的票价是多少,,1
你好 我听说山崎面包不错 想了解一下,你好 您想具体了解什么呢 我这边都可以帮您查询,帮我看看山崎面包的地址在哪,帮我看看山崎面包的地址在哪,山崎面包的地址在哪里,,0
我的膝盖还在恢复中不能爬山,怎么回事还好吗,好多了不过还没全好,我的膝盖好多了不过还没全好,好多了不过还没全好,,0
中国国航CA4592具体起飞和到达时间是几点钟,浦东国际机场T2当天09 20起飞 双流国际机场T2当天12 55到达,中国国航CA4592以往准点情况如何呀,中国国航CA4592以往准点情况如何呀,中国国航CA4592航班以往的准点情况如何,,0
听说你要跟老岳分手,绝对是真的而且是几个月前的事情了,你还跟他有一段,你还跟老岳有一段,你还跟老岳有一段,,1
你好 月底我要到苏州出个公差 办完公事 我想顺便去学校校园类型的景点看看 最好是消费便宜一些的 请你帮我找找 好吗,为您推荐苏州大学,哦 苏州大学有记录评分是几分吗,哦 苏州大学有记录评分是几分吗,哦 苏州大学的记录评分是几分,,0
我玩过俄罗斯方块,怎么说也进到世界杯八强真是不容易啊,你玩过吗,你玩过俄罗斯方块吗,你玩过俄罗斯方块吗,,1
丽江古城怎么样,欸你是不是对这个地方比较感兴趣呀,我去过了,我去过丽江古城了,我去过丽江古城,,0
还有 西部世界第一季是什么时候开始播放的,首播时间是2016年10月2日,我还想问一下 西部世界第一季的主演都是谁,我还想问一下 西部世界第一季的主演都是谁,西部世界第一季的主演都是谁,,0
周庄隐江南徐家民宿有大床房吗,大床房当然有了,我还想问一下周庄隐江南徐家民宿的房费是多少钱,我还想问一下周庄隐江南徐家民宿的房费是多少钱,周庄隐江南徐家民宿的大床房房费是多少钱,,0
英雄本色是谁导演的,它是吴宇森导演的,英雄本色的片长是多长时间,英雄本色的片长是多长时间,英雄本色的片长是多长时间,,1
您好 我想看部90年代日本的电视剧 请问有什么好的推荐,搜索的结果有很多 真不知道为您推荐哪个比较适合 请问您喜欢什么类型的呢,我想看90年代日本耐人寻味的剧情片电视剧 麻烦您告诉我一下电视剧名称好吗,我想看90年代日本耐人寻味的剧情片电视剧 麻烦您告诉我一下电视剧名称好吗,90年代日本耐人寻味的剧情片电视剧名称有哪些,,0
你好 我想购买一台台式机 预算在5000到10000元之间的 可以帮忙做下推荐吗,好的 这种电脑有很多的 对内存和CPU有什么要求吗,电脑内存要求8GB的 i5的CPU,电脑内存要求8GB的 i5的CPU,预算在5000到10000元之间 电脑内存要求8GB的 i5的CPU的台式机推荐,,0
苏州金陵南林饭店的房费是多少钱,大床房是438元 标准间是389元,再帮我找一个姑苏区最热门的苏州园林,再帮我找一个姑苏区最热门的苏州园林,姑苏区最热门的苏州园林,,0
小米音箱,小米音箱好用我喜欢,绑定那个,绑定小米音箱,小米音箱绑定那个,,0
您好 我想找一部布莱恩 科兰斯顿演的美国电视剧 推荐一下,好的 推荐您看绝命毒师第一季,绝命毒师第一季共有多少集,绝命毒师第一季共有多少集,绝命毒师第一季共有多少集,,1
那金色三麦精酿啤酒餐厅是地铁直达吗,这个餐厅还真的不是地铁直达,你再给我推荐一个高新区附近的4星级酒店吧 我比较想要标准间,你再给我推荐一个高新区附近的4星级酒店吧 我比较想要标准间,请推荐一个高新区附近的4星级酒店，我比较想要标准间,,0
你有多了解我,你是不是跟我说过你粉薛之谦,谁特么喜欢他,谁特么喜欢薛之谦,谁特么喜欢薛之谦,,1
你知道哪些文学作品吗,简爱,它的作者,简爱的作者,简爱的作者,,1
我觉得你就是双子性格,射手,好像这个星座的人都挺聪明的,好像射手的人都挺聪明的,双子座的人好像都挺聪明的,,0
嗨 我初次来苏州旅游 刚到高新区 这边有没有适合家庭亲子游玩的景点呀 你帮我推荐一个呗,这样的景点这边还是有的 苏州太湖国家湿地公园就挺不错的,好的 就去苏州太湖国家湿地公园了 你知道地址吗,好的 就去苏州太湖国家湿地公园了 你知道地址吗,苏州太湖国家湿地公园的地址在哪里,,0
你认识babyQ吗,之前好像听人提起过babyQ,她也是一个智能软件,babyQ也是一个智能软件,babyQ也是一个智能软件,,1
漂洋过海来看你,漂洋过海来看你不是一首歌吗,就是说的这首歌,就是说的漂洋过海来看你,就是说的这首歌漂洋过海来看你,,0
哦 好的 老天桥蛙炉火锅的具体地址在哪呢,地址在学士街54号 全天营业,老天桥蛙炉火锅的招牌菜能给我介绍介绍吗,老天桥蛙炉火锅的招牌菜能给我介绍介绍吗,老天桥蛙炉火锅的招牌菜能给我介绍介绍吗,,1
海星,海星能吃么,能吃,海星能吃,海星能吃么,,0
哦 有点贵呀 下周三有没有动车呢,有的 是D3296 厦门北 南京南,D3296的二等座多少钱,D3296的二等座多少钱,D3296动车二等座多少钱,,0
G571一等座的票价是多少,一等座的票价是1246 0元,G571旅途经过多长时间到达成都啊,G571旅途经过多长时间到达成都啊,G571一等座从出发到成都的旅途时间是多少,,0
双瞳看下来需要多长时间,这部电影观看下来全程需要113分钟,双瞳的豆瓣评分怎么样,双瞳的豆瓣评分怎么样,双瞳的豆瓣评分怎么样,,1
说来听听,听说木村拓哉的小女儿做模特了这简直是超级星二代了,有她照片吗,有木村拓哉的小女儿的照片吗,有木村拓哉小女儿的照片吗,,0
哦哦 好的 还有香港的电视剧推荐吗 最好是苗侨伟主演的,苗侨伟主演的电视剧推荐您看使徒行者,使徒行者的豆瓣评分怎么样呢,使徒行者的豆瓣评分怎么样呢,使徒行者的豆瓣评分怎么样呢,,1
都去过韩国,今次系去首尔上次只系去济州,去整容么,去韩国整容么,去韩国整容么,,1
言叶之庭啊,一贯新海诚的风格画面很唯美不过故事的后半段的编剧不是那么完美吧,我怎么觉得后半段也不错啊,我怎么觉得言叶之庭后半段也不错啊,我怎么觉得言叶之庭后半段也不错啊,,1
今天好大的太阳,哪有太阳啊,我们这里有,我们这里有太阳,我们这里有太阳,,1
你能给我吴世勋的资料吗,我勋尽管不上镜也还是能有好看的照片,他上镜谢谢,吴世勋上镜谢谢,吴世勋上镜谢谢,,1
华谊兄弟电影世界开放时间足够充分了 它家评分咋样啊 我比较喜欢高分的景点,景点评分是4 5分 还算挺高的,华谊兄弟电影世界评分够用了 溜达完 我还要找个偏贵一点的西餐厅好好吃一顿 有合适的地方吗,华谊兄弟电影世界评分够用了 溜达完 我还要找个偏贵一点的西餐厅好好吃一顿 有合适的地方吗,华谊兄弟电影世界评分够用了 溜达完 我还要找个偏贵一点的西餐厅好好吃一顿 有合适的地方吗,,1
不好意思 看错了 我家孩子是五年级,那您打算让您家孩子每周几上课呢,辅导班上课时间最好是周六下午 方便我来接她,辅导班上课时间最好是周六下午 方便我来接她,周六下午是辅导班上课时间，方便我来接她,,0
我打算帮我家孩子找个辅导班 他成绩不错还想有一些拓展 你推荐个语文的辅导班呗,那您家孩子正在上几年级,我家孩子正在上四年级,我家孩子正在上四年级,语文辅导班推荐，针对四年级学生，成绩不错且需要拓展,,0
我有喜欢的女孩子,很漂亮,很可爱,我喜欢的女孩子很可爱,我喜欢的女孩子很可爱,,1
下周日下午南京开往杭州的车有吗,有的 那这辆高铁G2807可以吗,下周日下午南京开往杭州的车 有动车吗,下周日下午南京开往杭州的车 有动车吗,下周日下午南京开往杭州的车有动车吗,,1
你好 这几天我在苏州度假 明天我准备去网师园玩 能否帮我查看下这个景点的门票价格呢,好的 这就为您查询 门票是40元,那挺便宜啊 有没有网师园的联系电话呢 我先电话订票吧,那挺便宜啊 有没有网师园的联系电话呢 我先电话订票吧,网师园的联系电话是多少 我想先电话订票,,0
万历十五年 讲什么的,万历十五年我觉得看完明朝那些事在看会好很多,说说看,说说看万历十五年 讲什么,万历十五年讲什么的,,0
洛天依有多美,被家长批评了其实我还是很尊重前辈歌手们的,我问多美,我问洛天依有多美,洛天依有多美,,0
G1652一等座是多少钱,一等座票价为670 5元,下周日从厦门到杭州有动车吗,下周日从厦门到杭州有动车吗,下周日从厦门到杭州的动车班次及票价查询,,0
dota比lol好玩,必须dota英雄联盟我觉得无脑,咋无脑了,英雄联盟咋无脑了,dota英雄联盟为啥无脑,,0
你看过魔道祖师吗,看过啊后来发现了,主角是谁呀,魔道祖师里主角是谁呀,魔道祖师的主角是谁呀,,0
我们毕业旅行去苏州 想了解苏州的衣食住行 我想问一下吴中区这边有没有价格便宜点的酒店 请你给我推荐一个,推荐您去布丁酒店 这家酒店很符合您的要求,我开车来的 布丁酒店有停车场吧,我开车来的 布丁酒店有停车场吧,我开车去布丁酒店，布丁酒店有停车场吗,,0
哦了 我了解了 我想在对比一下5000元到10000元同等价格区间的宏碁 暗影骑士系列电脑 你帮我查一下好吗,可以呀 你可以去看看宏碁 Acer 暗影骑士游戏台式机N50 N96这款电脑,宏碁 Acer 暗影骑士游戏台式机N50 N96安装的系统是什么呢,宏碁 Acer 暗影骑士游戏台式机N50 N96安装的系统是什么呢,宏碁 Acer 暗影骑士游戏台式机N50 N96安装的系统是什么,,0
打广告,广告贩子太多了,你就是啊,你就是广告贩子啊,广告贩子就是你,,0
是我暗恋的男生,一不小心掉到沟里看到了你,我喜欢他有错吗,我喜欢我暗恋的男生有错吗,我喜欢暗恋的男生有错吗,,0
下周六的四川航空3U8911几点到达杭州,当天17 35到达,四川航空3U8911准点吗,四川航空3U8911准点吗,四川航空3U8911下周六到达杭州的准点情况如何,,0
鬼泣4,鬼泣4画面差吗,不差,鬼泣4画面不差,鬼泣4画面不差,,1
认识李赫宰吗,不认识,真的不认识,真的不认识李赫宰,真的不认识李赫宰,,1
可以呀 有哪个电影推荐,推荐你看这部叶问,叶问的豆瓣评分多少,叶问的豆瓣评分多少,叶问的豆瓣评分多少,,1
你好 我是外地来苏州办事的 正好有时间想逛逛这的景点 有没有消费偏贵的山水景区给我推荐一下吧,您好 给您推荐沙家浜风景区 很多外地人都喜欢去这游玩,你帮我看看沙家浜风景区那里的门票是多少钱一张,你帮我看看沙家浜风景区那里的门票是多少钱一张,沙家浜风景区的门票是多少钱一张,,0
张艺兴说相声的那个,唱歌的,他唱歌的时候好帅的,张艺兴唱歌的时候好帅的,张艺兴唱歌的时候好帅的,,1
你好 我喜欢品尝美食 听说苏州桃花源记很不错 请帮我查一下这家店的评分是多少呢,评分是4 5分,请问桃花源记这家店的推荐菜是什么呢,请问桃花源记这家店的推荐菜是什么呢,桃花源记这家店的推荐菜是什么,,0
你有几个男朋友呢,你要帮我介绍嘛害羞,可以,可以帮你介绍,可以帮我介绍男朋友吗,,0
那苏州途乐酒店公寓的评分是多少呀,这家酒店评分是4 6分,请问苏州途乐酒店公寓的订房电话是多少号啊,请问苏州途乐酒店公寓的订房电话是多少号啊,苏州途乐酒店公寓的订房电话是多少,,0
你好 我这个周末想宅家里看看美国2000年代的科幻片电视剧 你能帮我推荐一部吗,嗯  危机边缘第一季 就很好看的,看着像系列片 危机边缘第一季总共有多少集呢,看着像系列片 危机边缘第一季总共有多少集呢,危机边缘第一季总共有多少集呢,,0
张柏芝图片你有吗,张柏芝的照片呢,发给我,张柏芝图片发给我,张柏芝的照片发给我,,0
我现在在姑苏区 想在附近找一个神经外科比较好的医院 能帮着推荐一个么,您好 给您推荐苏州大学附属第一医院,苏州大学附属第一医院有没有3 0TMRI,苏州大学附属第一医院有没有3 0TMRI,苏州大学附属第一医院有没有3.0T MRI,,0
科比,我是科比的铁杆球迷,他几号,科比几号,科比几号,,1
你好 我想找些好看的电影和电视剧来看 可以帮我推荐一部2000年代的科幻电影吗,好的 你比较喜欢看哪个国家或者地区的影片呢,帮我推荐一部中国香港地区2000年代的科幻电影吧,帮我推荐一部中国香港地区2000年代的科幻电影吧,帮我推荐一部中国香港地区2000年代的科幻电影,,0
对了你玩王者荣耀不用哪个英雄啊,不玩,我就玩下游戏嘛 娱乐一下,我就玩下王者荣耀嘛 娱乐一下,我就玩下王者荣耀游戏嘛 娱乐一下,,0
我想买一辆途昂X 高配的,途昂X的途昂X530V6四驱尊崇豪华版可以尝试尝试,嗯嗯 途昂X530V6四驱尊崇豪华版具体价格是,嗯嗯 途昂X530V6四驱尊崇豪华版具体价格是,途昂X530V6四驱尊崇豪华版具体价格是多少,,0
这是什么游戏啊,部落冲突coc,没玩过,没玩过部落冲突,没玩过部落冲突coc,,0
我家孩子现在是小学六年级了 马上小升初了 我想给他报个辅导班提升下成绩 你帮我推荐个呗,你打算给孩子报名什么科目的辅导班呢,我家孩子现在是小学六年级了要报个数学辅导班吧,我家孩子现在是小学六年级了要报个数学辅导班吧,小学六年级学生报数学辅导班的推荐,,0
西湖附近住宿,钱塘江边上,有什么民民宿,西湖附近有什么民民宿,西湖附近钱塘江边上有什么民民宿,,0
权御天下被说抄袭  真的假的,永远的抄袭,抄袭什么作品,权御天下抄袭什么作品,权御天下抄袭了什么作品,,0
金星秀,金老师三观非常正,你也喜欢她,你也喜欢金星,你也喜欢金星秀吗,,0
我的预算是小于5000,为您推荐惠普 HP 星14青春版,惠普 HP 星14青春版待机多久,惠普 HP 星14青春版待机多久,惠普 HP 星14青春版的待机时间是多少,,0
我想买一辆四驱的中型的SUV 推荐一下吧,途观L系列的车可以尝试一下 途观L380TSI自动四驱R Line旗舰版很棒,好的 途观L380TSI自动四驱R Line旗舰版多少钱呢,好的 途观L380TSI自动四驱R Line旗舰版多少钱呢,途观L380TSI自动四驱R Line旗舰版多少钱,,0
好的 那惠普TG01 073rcn是什么色系,未有明确说明,那惠普TG01 073rcn的CPU型号是什么啊,那惠普TG01 073rcn的CPU型号是什么啊,惠普TG01 073rcn的CPU型号是什么,,0
你去过长城吗,可能会很累但爬完成就感满满,在哪儿,长城在哪儿,在哪儿,,0
火箭,姚明什么时候加入火箭的,忘记了,忘记了姚明什么时候加入火箭的,姚明什么时候加入火箭的,,0
同等价格区间的小米笔记本有合适的吗,RedmiBook14增强版可以的,RedmiBook14增强版有什么特性吗,RedmiBook14增强版有什么特性吗,RedmiBook14增强版有什么特性吗,,1
鹿晗跟关晓彤真的在一起了吗,做人最要紧的就是开心,我最讨厌她了,我最讨厌关晓彤了,我最讨厌关晓彤了,,1
你好 我想去苏州旅游 帮我推荐一家4星级休闲度假类的酒店吧 要标准间,推荐您去苏州科技城源宿酒店,行 苏州科技城源宿酒店停车场是免费的么,行 苏州科技城源宿酒店停车场是免费的么,苏州科技城源宿酒店的停车场是免费的吗,,0
MU5101票价多少,经济舱910元,MU5101什么时间能到北京呀 我要对方来接我下,MU5101什么时间能到北京呀 我要对方来接我下,MU5101航班什么时候能到北京，我要对方来接我下,,0
我从外地来苏州 想去工业园区找个好吃的日本料理餐厅 能帮我推荐一下吗,推荐您去万魚亭 鹤家日本料理铁板烧 这家好吃,我想问一下万魚亭 鹤家日本料理铁板烧的评分是多少,我想问一下万魚亭 鹤家日本料理铁板烧的评分是多少,万魚亭 鹤家日本料理铁板烧的评分是多少,,0
林肯,林肯是谁,美国总统,林肯是美国总统,林肯是美国总统,,1
你好 可以给我推荐一个最新款的笔记本电脑吗,你比较想买什么牌子的呢,给我推荐一个宏基的笔记本吧,给我推荐一个宏基的笔记本吧,宏基的最新款笔记本电脑推荐,,0
我计划下周要从南京坐飞机去成都办事 你能帮查查下周南京的天气么,您要查询下周几的天气状况呀,下周六南京的天气的吧,下周六南京的天气的吧,下周六南京的天气状况,,0
金鸡湖景区的特点都有什么啊,这个景点的特点就是看东方之门等高楼 坐摩天轮 乘船夜游 感受苏州现代化的一面,听起来真的很不错 能告诉我金鸡湖景区的地址么,听起来真的很不错 能告诉我金鸡湖景区的地址么,听起来真的很不错 能告诉我金鸡湖景区的地址吗,,0
LOL游戏定理话越多的越菜,是这样的吗,我怎么觉得这是老版的,我怎么觉得LOL是老版的,我怎么觉得LOL游戏定理话越多的越菜这是老版的,,0
那苏州市立医院 本部 门诊的时间也和挂号的时间一样么,门诊时间要晚一些 是8 00 12 00 13 00 17 00,请问苏州市立医院 本部 有什么联系方式么,请问苏州市立医院 本部 有什么联系方式么,请问苏州市立医院本部的联系方式是什么,,0
